! version = 0.11.1
! unit = m
! diameter = False

# Internal geometry of the Besson trumpet E0925 from the "Musée de la Musique - Philharmonie de Paris"
# obtained from tomography, performed by Elsa Lambert for C2RMF lab. 
# More information on this instrument is available here:
# https://inria.hal.science/hal-04352706

#        x	         r
   0.02005	   0.00246
   0.02009	   0.00246
   0.02012	   0.00248
   0.02015	   0.00248
   0.02019	   0.00247
   0.02022	   0.00247
   0.02026	   0.00248
   0.02029	   0.00247
   0.02032	   0.00246
   0.02036	   0.00246
   0.02039	   0.00247
   0.02042	   0.00245
   0.02046	   0.00245
   0.02049	   0.00246
   0.02053	   0.00246
   0.02056	   0.00247
   0.02059	   0.00247
   0.02063	   0.00248
   0.02066	   0.00247
   0.02069	   0.00246
   0.02073	   0.00247
   0.02076	   0.00246
   0.02080	   0.00247
   0.02083	   0.00246
   0.02086	   0.00247
   0.02090	   0.00247
   0.02093	   0.00247
   0.02096	   0.00248
   0.02100	   0.00247
   0.02103	   0.00247
   0.02107	   0.00247
   0.02110	   0.00248
   0.02113	   0.00248
   0.02117	   0.00247
   0.02120	   0.00247
   0.02123	   0.00248
   0.02127	   0.00248
   0.02130	   0.00248
   0.02133	   0.00247
   0.02137	   0.00248
   0.02140	   0.00248
   0.02144	   0.00248
   0.02147	   0.00248
   0.02150	   0.00248
   0.02154	   0.00247
   0.02157	   0.00248
   0.02160	   0.00248
   0.02164	   0.00248
   0.02167	   0.00248
   0.02170	   0.00247
   0.02174	   0.00248
   0.02177	   0.00248
   0.02181	   0.00248
   0.02184	   0.00248
   0.02187	   0.00248
   0.02191	   0.00248
   0.02194	   0.00248
   0.02198	   0.00248
   0.02201	   0.00248
   0.02204	   0.00248
   0.02208	   0.00248
   0.02211	   0.00248
   0.02214	   0.00248
   0.02218	   0.00248
   0.02221	   0.00248
   0.02225	   0.00248
   0.02228	   0.00248
   0.02231	   0.00248
   0.02235	   0.00249
   0.02238	   0.00249
   0.02241	   0.00249
   0.02245	   0.00249
   0.02248	   0.00248
   0.02251	   0.00248
   0.02255	   0.00248
   0.02258	   0.00248
   0.02261	   0.00249
   0.02265	   0.00249
   0.02268	   0.00248
   0.02272	   0.00248
   0.02275	   0.00248
   0.02278	   0.00248
   0.02282	   0.00248
   0.02285	   0.00248
   0.02288	   0.00248
   0.02292	   0.00248
   0.02295	   0.00248
   0.02299	   0.00247
   0.02302	   0.00248
   0.02305	   0.00248
   0.02309	   0.00248
   0.02312	   0.00248
   0.02315	   0.00249
   0.02319	   0.00248
   0.02322	   0.00248
   0.02326	   0.00249
   0.02329	   0.00249
   0.02332	   0.00249
   0.02336	   0.00249
   0.02339	   0.00249
   0.02342	   0.00249
   0.02346	   0.00248
   0.02349	   0.00248
   0.02353	   0.00248
   0.02356	   0.00248
   0.02359	   0.00248
   0.02363	   0.00248
   0.02366	   0.00249
   0.02369	   0.00249
   0.02373	   0.00249
   0.02376	   0.00250
   0.02380	   0.00250
   0.02383	   0.00249
   0.02386	   0.00249
   0.02390	   0.00249
   0.02393	   0.00249
   0.02396	   0.00249
   0.02400	   0.00250
   0.02403	   0.00251
   0.02406	   0.00250
   0.02410	   0.00250
   0.02413	   0.00250
   0.02417	   0.00250
   0.02420	   0.00250
   0.02423	   0.00250
   0.02427	   0.00250
   0.02430	   0.00251
   0.02433	   0.00251
   0.02437	   0.00250
   0.02440	   0.00251
   0.02443	   0.00251
   0.02447	   0.00251
   0.02450	   0.00251
   0.02454	   0.00251
   0.02457	   0.00251
   0.02460	   0.00251
   0.02464	   0.00251
   0.02467	   0.00252
   0.02471	   0.00252
   0.02474	   0.00252
   0.02477	   0.00252
   0.02481	   0.00252
   0.02484	   0.00252
   0.02487	   0.00251
   0.02491	   0.00252
   0.02494	   0.00253
   0.02498	   0.00252
   0.02501	   0.00252
   0.02504	   0.00253
   0.02508	   0.00253
   0.02511	   0.00254
   0.02514	   0.00254
   0.02518	   0.00254
   0.02521	   0.00254
   0.02524	   0.00254
   0.02528	   0.00254
   0.02531	   0.00254
   0.02534	   0.00255
   0.02538	   0.00255
   0.02541	   0.00254
   0.02545	   0.00254
   0.02548	   0.00255
   0.02551	   0.00255
   0.02555	   0.00254
   0.02558	   0.00254
   0.02561	   0.00253
   0.02565	   0.00253
   0.02568	   0.00255
   0.02572	   0.00255
   0.02575	   0.00254
   0.02578	   0.00255
   0.02582	   0.00255
   0.02585	   0.00255
   0.02588	   0.00255
   0.02592	   0.00255
   0.02595	   0.00256
   0.02599	   0.00256
   0.02602	   0.00256
   0.02605	   0.00256
   0.02609	   0.00256
   0.02612	   0.00257
   0.02615	   0.00257
   0.02619	   0.00257
   0.02622	   0.00257
   0.02626	   0.00257
   0.02629	   0.00257
   0.02632	   0.00257
   0.02636	   0.00257
   0.02639	   0.00257
   0.02642	   0.00258
   0.02646	   0.00258
   0.02649	   0.00258
   0.02652	   0.00258
   0.02656	   0.00258
   0.02659	   0.00258
   0.02663	   0.00257
   0.02666	   0.00258
   0.02669	   0.00257
   0.02673	   0.00257
   0.02676	   0.00258
   0.02679	   0.00258
   0.02683	   0.00258
   0.02686	   0.00258
   0.02690	   0.00259
   0.02693	   0.00259
   0.02696	   0.00258
   0.02700	   0.00257
   0.02703	   0.00258
   0.02706	   0.00258
   0.02710	   0.00258
   0.02713	   0.00258
   0.02717	   0.00258
   0.02720	   0.00258
   0.02723	   0.00258
   0.02727	   0.00259
   0.02730	   0.00259
   0.02733	   0.00258
   0.02737	   0.00259
   0.02740	   0.00259
   0.02744	   0.00259
   0.02747	   0.00259
   0.02750	   0.00258
   0.02754	   0.00258
   0.02757	   0.00258
   0.02760	   0.00260
   0.02764	   0.00260
   0.02767	   0.00260
   0.02771	   0.00260
   0.02774	   0.00260
   0.02777	   0.00261
   0.02781	   0.00261
   0.02784	   0.00261
   0.02787	   0.00261
   0.02791	   0.00261
   0.02794	   0.00261
   0.02797	   0.00262
   0.02801	   0.00262
   0.02804	   0.00260
   0.02807	   0.00261
   0.02811	   0.00262
   0.02814	   0.00260
   0.02818	   0.00261
   0.02821	   0.00262
   0.02824	   0.00262
   0.02828	   0.00262
   0.02831	   0.00262
   0.02834	   0.00262
   0.02838	   0.00262
   0.02841	   0.00262
   0.02845	   0.00261
   0.02848	   0.00262
   0.02851	   0.00262
   0.02855	   0.00262
   0.02858	   0.00263
   0.02862	   0.00264
   0.02865	   0.00265
   0.02868	   0.00265
   0.02872	   0.00264
   0.02875	   0.00264
   0.02878	   0.00265
   0.02882	   0.00265
   0.02885	   0.00265
   0.02888	   0.00265
   0.02892	   0.00265
   0.02895	   0.00265
   0.02899	   0.00265
   0.02902	   0.00265
   0.02905	   0.00265
   0.02909	   0.00265
   0.02912	   0.00264
   0.02915	   0.00264
   0.02919	   0.00264
   0.02922	   0.00264
   0.02925	   0.00265
   0.02929	   0.00266
   0.02932	   0.00266
   0.02936	   0.00266
   0.02939	   0.00266
   0.02942	   0.00265
   0.02946	   0.00265
   0.02949	   0.00265
   0.02952	   0.00266
   0.02956	   0.00266
   0.02959	   0.00265
   0.02963	   0.00266
   0.02966	   0.00267
   0.02969	   0.00266
   0.02973	   0.00267
   0.02976	   0.00267
   0.02979	   0.00266
   0.02983	   0.00266
   0.02986	   0.00267
   0.02990	   0.00268
   0.02993	   0.00267
   0.02996	   0.00267
   0.03000	   0.00268
   0.03003	   0.00269
   0.03006	   0.00269
   0.03010	   0.00269
   0.03013	   0.00268
   0.03017	   0.00268
   0.03020	   0.00267
   0.03023	   0.00266
   0.03027	   0.00267
   0.03030	   0.00267
   0.03033	   0.00269
   0.03037	   0.00270
   0.03040	   0.00269
   0.03044	   0.00269
   0.03047	   0.00269
   0.03050	   0.00269
   0.03054	   0.00269
   0.03057	   0.00269
   0.03060	   0.00269
   0.03064	   0.00269
   0.03067	   0.00270
   0.03070	   0.00270
   0.03074	   0.00271
   0.03077	   0.00271
   0.03081	   0.00271
   0.03084	   0.00271
   0.03087	   0.00271
   0.03091	   0.00271
   0.03094	   0.00271
   0.03097	   0.00271
   0.03101	   0.00272
   0.03104	   0.00272
   0.03107	   0.00273
   0.03111	   0.00272
   0.03114	   0.00272
   0.03118	   0.00272
   0.03121	   0.00273
   0.03124	   0.00273
   0.03128	   0.00273
   0.03131	   0.00273
   0.03134	   0.00273
   0.03138	   0.00273
   0.03141	   0.00273
   0.03145	   0.00274
   0.03148	   0.00274
   0.03151	   0.00275
   0.03155	   0.00274
   0.03158	   0.00275
   0.03161	   0.00274
   0.03165	   0.00274
   0.03168	   0.00274
   0.03172	   0.00275
   0.03175	   0.00275
   0.03178	   0.00275
   0.03182	   0.00275
   0.03185	   0.00275
   0.03188	   0.00275
   0.03192	   0.00275
   0.03195	   0.00275
   0.03198	   0.00276
   0.03202	   0.00276
   0.03205	   0.00276
   0.03209	   0.00276
   0.03212	   0.00276
   0.03215	   0.00276
   0.03219	   0.00276
   0.03222	   0.00276
   0.03225	   0.00276
   0.03229	   0.00276
   0.03232	   0.00277
   0.03236	   0.00276
   0.03239	   0.00276
   0.03242	   0.00277
   0.03246	   0.00278
   0.03249	   0.00278
   0.03252	   0.00277
   0.03256	   0.00278
   0.03259	   0.00279
   0.03263	   0.00279
   0.03266	   0.00279
   0.03269	   0.00279
   0.03273	   0.00279
   0.03276	   0.00280
   0.03279	   0.00279
   0.03283	   0.00280
   0.03286	   0.00280
   0.03290	   0.00280
   0.03293	   0.00280
   0.03296	   0.00280
   0.03300	   0.00280
   0.03303	   0.00279
   0.03306	   0.00279
   0.03310	   0.00280
   0.03313	   0.00279
   0.03317	   0.00280
   0.03320	   0.00279
   0.03323	   0.00280
   0.03327	   0.00281
   0.03330	   0.00281
   0.03333	   0.00282
   0.03337	   0.00282
   0.03340	   0.00282
   0.03343	   0.00281
   0.03347	   0.00281
   0.03350	   0.00281
   0.03354	   0.00281
   0.03357	   0.00281
   0.03360	   0.00281
   0.03364	   0.00282
   0.03367	   0.00282
   0.03370	   0.00282
   0.03374	   0.00282
   0.03377	   0.00282
   0.03381	   0.00282
   0.03384	   0.00283
   0.03387	   0.00282
   0.03391	   0.00282
   0.03394	   0.00282
   0.03397	   0.00282
   0.03401	   0.00282
   0.03404	   0.00283
   0.03408	   0.00283
   0.03411	   0.00283
   0.03414	   0.00282
   0.03418	   0.00283
   0.03421	   0.00284
   0.03424	   0.00284
   0.03428	   0.00284
   0.03431	   0.00284
   0.03434	   0.00284
   0.03438	   0.00283
   0.03441	   0.00284
   0.03445	   0.00285
   0.03448	   0.00284
   0.03451	   0.00285
   0.03455	   0.00285
   0.03458	   0.00285
   0.03461	   0.00285
   0.03465	   0.00285
   0.03468	   0.00286
   0.03472	   0.00286
   0.03475	   0.00285
   0.03478	   0.00285
   0.03482	   0.00285
   0.03485	   0.00285
   0.03488	   0.00287
   0.03492	   0.00287
   0.03495	   0.00286
   0.03499	   0.00286
   0.03502	   0.00286
   0.03505	   0.00286
   0.03509	   0.00287
   0.03512	   0.00288
   0.03515	   0.00289
   0.03519	   0.00290
   0.03522	   0.00291
   0.03525	   0.00291
   0.03529	   0.00292
   0.03532	   0.00291
   0.03536	   0.00291
   0.03539	   0.00291
   0.03542	   0.00291
   0.03546	   0.00291
   0.03549	   0.00291
   0.03552	   0.00290
   0.03556	   0.00292
   0.03559	   0.00292
   0.03562	   0.00292
   0.03566	   0.00292
   0.03569	   0.00292
   0.03573	   0.00292
   0.03576	   0.00293
   0.03579	   0.00293
   0.03583	   0.00293
   0.03586	   0.00294
   0.03590	   0.00294
   0.03593	   0.00294
   0.03596	   0.00294
   0.03600	   0.00295
   0.03603	   0.00296
   0.03606	   0.00296
   0.03610	   0.00296
   0.03613	   0.00295
   0.03616	   0.00295
   0.03620	   0.00296
   0.03623	   0.00295
   0.03627	   0.00294
   0.03630	   0.00293
   0.03633	   0.00294
   0.03637	   0.00293
   0.03640	   0.00294
   0.03643	   0.00295
   0.03647	   0.00296
   0.03650	   0.00296
   0.03653	   0.00298
   0.03657	   0.00298
   0.03660	   0.00298
   0.03664	   0.00298
   0.03667	   0.00298
   0.03670	   0.00300
   0.03674	   0.00300
   0.03677	   0.00299
   0.03680	   0.00299
   0.03684	   0.00300
   0.03687	   0.00299
   0.03691	   0.00298
   0.03694	   0.00299
   0.03697	   0.00298
   0.03701	   0.00298
   0.03704	   0.00299
   0.03707	   0.00299
   0.03711	   0.00300
   0.03714	   0.00301
   0.03718	   0.00301
   0.03721	   0.00301
   0.03724	   0.00300
   0.03728	   0.00300
   0.03731	   0.00300
   0.03734	   0.00301
   0.03738	   0.00301
   0.03741	   0.00302
   0.03744	   0.00302
   0.03748	   0.00302
   0.03751	   0.00302
   0.03755	   0.00303
   0.03758	   0.00303
   0.03761	   0.00303
   0.03765	   0.00302
   0.03768	   0.00303
   0.03771	   0.00304
   0.03775	   0.00305
